symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
TATACAP,0.6663,B+,390.98,381.63,416.6,450,490,525
PCBL,0.5626,B,374.75,361.78,407.08,450,500,550
AEGISVOPAK,0.5011,B,312.11,297.47,351.51,410,460,500
PFOCUS,0.4892,B,367.73,347.88,412.46,470,550,600
ASHOKLEY,0.4706,B,183.07,176.71,195.22,220,230,240
AYE,0.4508,B,197.68,186.33,227.13,270,310,340
ABCAPITAL,0.4127,C,431.56,419.82,465.83,525,575,600
APTUS,0.3739,C,309.62,300.42,340.72,390,430,460
LEMONTREE,0.3688,C,128.64,125.66,135.41,150,160,170
ADVENTHTL,0.2373,C,177.88,169.85,193.52,220,240,260
BLKASHYAP,0.2286,C,62.57,58.94,67.21,75,80,85
MAHABANK,0.1692,C,94.69,91.4,102.6,120,130,140
