symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
AURUM,0.5383,B,265.17,253.71,292.82,330,370,400
PFOCUS,0.5052,B,367.73,346.34,412.46,470,550,600
MRPL,0.5011,B,195.24,184.35,209.31,230,250,270
NYKAA,0.4691,B,348.7,338.47,379.98,420,470,500
MANAPPURAM,0.4269,C,382.31,367.11,418.69,470,525,575
LTF,0.4148,C,339.28,326.2,367.49,410,450,480
ARIHANTCAP,0.3945,C,84.97,81.07,91.65,110,120,130
AARTIDRUGS,0.3224,C,454.56,434.28,486.68,550,575,625
SAIL,0.2559,C,210.12,201.04,226.28,250,270,290
GAIL,0.2108,C,182.74,178.21,194.95,220,230,240
