symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
BHAGYANGR,0.7306,A,433.16,403.78,513.64,625,750,825
PETRONET,0.612,B+,294.69,285.35,309.2,330,350,370
IDFCFIRSTB,0.6074,B+,88.94,87.16,97.28,110,120,130
CUB,0.6015,B+,245.87,236.11,265.7,300,320,340
BBTCL,0.5623,B+,262.52,244.53,291.35,330,370,400
AURUM,0.5496,B,265.17,251.13,295.84,340,380,410
ZEEL,0.5233,B,118.59,111.06,131.43,150,170,180
ASIANENE,0.5011,B,491.98,453.11,562.09,675,750,825
BAJEL,0.4952,B,215.93,204.1,237.8,270,300,320
PFOCUS,0.4694,B,367.73,346.33,412.46,470,550,600
20MICRONS,0.4515,B,219.89,211.27,244.33,280,310,340
PARADEEP,0.4085,C,159.82,153.81,174.37,200,220,230
EMMVEE,0.395,C,372.29,357.38,416.22,480,550,600
COHANCE,0.326,C,515.93,484.9,576.42,675,750,800
AARTIDRUGS,0.2874,C,454.56,434.65,491.2,550,600,650
AARON,0.2772,C,155.11,145.01,168.17,190,210,220
NCC,0.2569,C,172.11,166.48,183.47,200,220,230
ARFIN,0.2288,C,106.41,101.86,115.71,130,150,160
BALMLAWRIE,0.2214,C,199.9,195.99,213.81,240,260,270
