symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
IDFCFIRSTB,0.5959,B+,88.94,86.58,95.13,110,120,130
AEROPLANE,0.496,B,207.31,194.9,231.76,270,300,330
PPLPHARMA,0.4434,C,220.8,211.02,241.12,270,300,320
PFOCUS,0.3883,C,367.73,347.22,412.46,470,550,600
PNB,0.3496,C,119.74,116.67,125.45,140,150,160
AJMERA,0.2513,C,146.29,140.64,157.6,180,190,200
ABCAPITAL,0.2237,C,431.56,418.17,457.67,500,550,575
ASHIANA,0.1934,C,436.77,425.7,467.86,525,575,600
NSLNISP,0.1885,C,53.86,51.15,57.79,65,70,75
APTUS,0.0862,C,309.62,299.76,332.2,370,400,420
COHANCE,0.0717,C,515.93,490.46,560.76,625,700,750
DELHIVERY,0.024,C,525.05,510.44,551.13,600,625,650
