symbol,probability,grade,entry_distance_pct,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
OIL,0.7013,A,0.0113,501.0,482.42,535.52,600.0,650.0,675.0
LTFOODS,0.5395,B,,,,,,,
PCBL,0.5162,B,0.0174,334.52,321.58,364.75,410.0,450.0,480.0
NYKAA,0.4971,B,0.0226,348.7,336.84,373.66,410.0,450.0,470.0
PWL,0.4873,B,0.0158,128.63,121.16,147.57,180.0,200.0,220.0
BAJAJHCARE,0.4821,B,0.0118,340.68,326.25,373.77,420.0,470.0,500.0
AYE,0.4752,B,0.0061,185.17,171.96,207.88,240.0,270.0,300.0
PINELABS,0.4639,B,0.0153,172.14,161.47,193.75,230.0,260.0,280.0
IDFCFIRSTB,0.443,C,0.0039,86.84,84.39,92.99,110.0,120.0,130.0
BHAGYANGR,0.4302,C,0.0185,399.3,377.69,460.85,550.0,650.0,700.0
AUTOIND,0.4176,C,0.0193,88.71,80.73,101.07,120.0,140.0,150.0
BESTAGRO,0.405,C,,,,,,,
BHARATSE,0.36,C,0.0051,228.45,215.82,253.97,290.0,330.0,350.0
SWIGGY,0.3411,C,0.0304,284.07,271.57,302.91,330.0,360.0,380.0
EIHOTEL,0.279,C,0.0433,308.57,296.24,328.07,360.0,390.0,400.0
ATL,0.2671,C,0.0201,26.34,24.02,28.66,35.0,40.0,45.0
AJMERA,0.2588,C,0.0295,121.58,116.3,132.89,150.0,170.0,180.0
ANDHRSUGAR,0.243,C,0.0417,102.91,96.44,111.51,130.0,140.0,150.0
GAIL,0.2417,C,0.0083,176.55,171.77,184.97,200.0,210.0,220.0
NCC,0.2253,C,0.0074,149.75,141.95,160.0,180.0,190.0,200.0
TATACAP,0.2178,C,0.0138,373.14,363.06,398.76,440.0,470.0,500.0
AADHARHFC,0.2148,C,0.0023,482.11,464.72,512.9,575.0,600.0,650.0
SAREGAMA,0.2071,C,0.0141,504.01,478.38,571.03,675.0,775.0,825.0
NHPC,0.2032,C,0.0192,77.36,75.27,81.5,90.0,95.0,100.0
BFINVEST,0.1882,C,0.0054,455.41,436.99,509.05,600.0,675.0,725.0
HONASA,0.1808,C,0.0342,492.33,469.27,540.96,625.0,675.0,725.0
