symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
LTFOODS,0.518,B,491.68,467.05,526.13,575.0,625.0,675.0
REDINGTON,0.5025,B,379.26,356.29,425.61,490.0,550.0,600.0
BEPL,0.464,B,138.78,131.68,152.35,170.0,190.0,210.0
KARURVYSYA,0.4496,C,359.37,347.79,383.77,420.0,450.0,480.0
ARTEMISMED,0.4495,C,335.67,321.59,365.68,410.0,450.0,480.0
AEGISVOPAK,0.4495,C,312.11,295.97,347.27,400.0,450.0,480.0
BATLIBOI,0.432,C,,,,,,
AAREYDRUGS,0.4281,C,96.19,89.63,104.5,120.0,130.0,140.0
BHAGYANGR,0.4205,C,433.16,407.02,503.31,600.0,700.0,775.0
ACMESOLAR,0.4189,C,412.32,386.98,451.71,525.0,575.0,600.0
FEDERALBNK,0.376,C,372.44,361.22,398.17,440.0,470.0,500.0
ADVANCE,0.3717,C,141.78,134.6,154.76,180.0,190.0,210.0
BESTAGRO,0.3525,C,22.71,21.61,25.34,30.0,35.0,40.0
RBLBANK,0.3488,C,395.29,383.98,419.33,450.0,490.0,525.0
COALINDIA,0.31,C,492.23,481.16,518.19,575.0,600.0,625.0
GICRE,0.3068,C,418.79,410.1,438.17,470.0,500.0,525.0
ANDHRAPAP,0.2703,C,70.29,67.85,73.25,80.0,85.0,90.0
IRB,0.27,C,24.0,23.45,25.41,30.0,35.0,40.0
SBFC,0.2532,C,103.58,99.02,108.14,120.0,130.0,140.0
BANSALWIRE,0.2114,C,370.74,359.66,400.39,440.0,480.0,525.0
ASHIANA,0.1933,C,436.77,424.59,470.25,525.0,575.0,600.0
