symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
PETRONET,0.5402,B,294.69,285.13,309.2,330,350,370
EMMVEE,0.4752,B,372.29,357.09,416.22,480,550,600
CUB,0.4298,C,245.87,235.74,265.7,300,320,340
IDFCFIRSTB,0.4,C,88.94,87.09,97.28,110,120,130
20MICRONS,0.3927,C,219.89,211.05,244.33,280,310,340
AURUM,0.3824,C,265.17,251.01,295.84,340,380,410
AEROFLEX,0.372,C,522.94,491.34,601.14,725,825,900
BANSALWIRE,0.3481,C,370.74,354.38,410.86,470,525,575
CANHLIFE,0.3259,C,167.02,160.15,176.4,190,210,220
BHAGYANGR,0.3132,C,433.16,403.85,513.64,625,750,825
BALMLAWRIE,0.3002,C,199.9,195.8,213.81,240,260,270
BCLIND,0.2807,C,40.08,38.05,43.96,50,55,60
ABCAPITAL,0.2755,C,431.56,415.52,470.46,525,575,625
GROWW,0.2672,C,227.65,220.64,248.91,280,310,330
PCBL,0.2489,C,374.75,360.23,412.56,470,525,575
EMAMILTD,0.2466,C,477.95,463.09,505.31,550,600,625
BAJAJHFL,0.2421,C,94.19,92.57,100.0,110,120,130
AARON,0.2354,C,155.11,144.85,168.17,190,210,220
PWL,0.2352,C,159.75,151.02,180.02,210,240,260
IRCON,0.2117,C,164.73,160.0,178.25,200,220,230
ALEMBICLTD,0.2003,C,96.56,92.22,103.61,120,130,140
GICRE,0.1997,C,418.79,410.58,438.17,470,500,525
SWANCORP,0.1757,C,382.91,373.9,406.44,440,470,500
PFOCUS,0.1536,C,367.73,346.68,412.46,470,550,600
