symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
PETRONET,0.8164,A+,297.39,288.28,312.64,340,360,370
JSWINFRA,0.645,B+,356.51,342.72,389.8,440,480,525
BBTCL,0.5612,B+,262.52,244.71,291.35,330,370,400
IDFCFIRSTB,0.5287,B,88.94,87.18,97.28,110,120,130
CGCL,0.5227,B,265.06,252.84,293.46,330,370,400
ZEEL,0.5177,B,118.59,110.6,131.43,150,170,180
HONASA,0.5011,B,510.82,486.59,571.1,650,750,800
IDBI,0.4687,B,92.43,89.82,100.93,120,130,140
PFOCUS,0.4645,B,367.73,345.37,412.46,470,550,600
KARURVYSYA,0.4617,B,352.5,341.78,377.2,410,450,470
AWL,0.4352,C,216.44,209.67,227.59,250,260,270
PARADEEP,0.4228,C,159.82,153.61,174.37,200,220,230
TATACAP,0.4146,C,390.98,377.68,416.6,450,490,525
AWFIS,0.385,C,424.85,412.23,477.88,550,625,675
EMMVEE,0.3558,C,372.29,357.66,416.22,480,550,600
NCC,0.3157,C,172.11,166.23,183.47,200,220,230
BAJEL,0.3047,C,215.93,203.91,237.8,270,300,320
PCBL,0.2844,C,374.75,360.67,411.2,460,525,550
AHCL,0.2818,C,17.23,16.49,18.89,25,30,35
AARTIDRUGS,0.2774,C,454.56,434.47,491.2,550,600,650
AFIL,0.2417,C,11.12,10.3,12.1,15,20,25
SAIL,0.2349,C,210.12,201.3,227.72,260,280,300
MANAPPURAM,0.2208,C,382.31,365.91,418.69,470,525,575
