symbol,probability,grade,entry_distance_pct,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
PINELABS,0.5013,B,,,,,,,
AYE,0.4752,B,0.0265,184.37,170.85,205.96,240.0,270.0,290.0
AARTIDRUGS,0.4134,C,0.0084,428.05,409.06,454.58,490.0,550.0,575.0
NYKAA,0.3822,C,0.0218,348.7,337.24,373.66,410.0,450.0,470.0
BAJAJHCARE,0.335,C,0.0258,340.68,326.33,373.77,420.0,470.0,500.0
NHPC,0.2771,C,0.0115,78.26,76.07,82.4,90.0,95.0,100.0
JSWINFRA,0.2758,C,0.0109,335.92,324.2,363.07,400.0,440.0,470.0
NLCINDIA,0.2473,C,0.0163,277.35,267.78,311.21,360.0,410.0,440.0
BHEL,0.2448,C,0.0198,436.82,419.98,471.88,525.0,575.0,625.0
NTPC,0.1102,C,0.0243,344.94,336.41,370.34,410.0,440.0,470.0
