symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
PETRONET,0.5442,B,294.69,285.35,309.2,330,350,370
BHAGYANGR,0.5022,B,433.16,403.78,513.64,625,750,825
IDFCFIRSTB,0.4432,C,88.94,87.16,97.28,110,120,130
CUB,0.422,C,245.87,236.11,265.7,300,320,340
BAJEL,0.4192,C,215.93,204.1,237.8,270,300,320
20MICRONS,0.3826,C,219.89,211.27,244.33,280,310,340
AURUM,0.3816,C,265.17,251.13,295.84,340,380,410
BBTCL,0.3536,C,262.52,244.53,291.35,330,370,400
PFOCUS,0.3341,C,367.73,346.33,412.46,470,550,600
ASIANENE,0.3132,C,491.98,453.11,562.09,675,750,825
ARFIN,0.3072,C,106.41,101.86,115.71,130,150,160
TARIL,0.306,C,372.74,361.1,405.11,450,500,525
NCC,0.3039,C,172.11,166.48,183.47,200,220,230
PARADEEP,0.2896,C,159.82,153.81,174.37,200,220,230
EMMVEE,0.2825,C,372.29,357.38,416.22,480,550,600
BALMLAWRIE,0.2804,C,199.9,195.99,213.81,240,260,270
ZEEL,0.2797,C,118.59,111.06,131.43,150,170,180
COHANCE,0.2478,C,515.93,484.9,576.42,675,750,800
AARON,0.2104,C,155.11,145.01,168.17,190,210,220
ARVINDFASN,0.1929,C,495.99,476.95,531.02,600,625,675
