symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
AAREYDRUGS,0.6551,B,96.19,89.52,105.44,120,140,150
CGCL,0.4571,B,265.06,248.6,289.0,320,360,380
CANHLIFE,0.4061,C,167.02,159.19,176.4,190,210,220
ARIHANTCAP,0.3844,C,84.97,80.75,91.4,100,110,120
REDINGTON,0.3554,C,379.26,357.62,425.61,490,550,600
IDFCFIRSTB,0.3278,C,88.94,86.79,95.88,110,120,130
A2ZINFRA,0.3047,C,17.99,16.83,19.61,25,30,35
ADVANCE,0.3025,C,141.78,134.68,154.76,180,190,210
AEGISVOPAK,0.2925,C,312.11,297.17,347.27,400,450,480
TATACAP,0.2795,C,390.98,381.04,416.6,450,490,525
IRB,0.261,C,24.0,23.48,25.41,30,35,40
USHAMART,0.243,C,528.55,508.02,557.3,600,650,675
GICRE,0.2116,C,418.79,409.76,438.17,470,500,525
BALMLAWRIE,0.2019,C,199.9,195.03,209.8,230,240,250
