symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
JMFINANCIL,0.5523,B+,147.49,142.04,156.38,170,190,200
BEPL,0.5357,B,138.78,131.51,152.35,170,190,210
BFINVEST,0.508,B,585.87,565.73,642.7,725,800,875
PPLPHARMA,0.493,B,220.8,211.06,242.4,270,310,330
ANDHRAPAP,0.4834,B,70.29,67.82,73.25,80,85,90
CANHLIFE,0.375,C,167.02,159.42,176.4,190,210,220
PCBL,0.3317,C,374.75,361.84,405.3,450,490,525
BANSALWIRE,0.304,C,370.74,360.0,400.39,440,480,525
ANDHRSUGAR,0.2884,C,107.44,100.83,116.04,130,140,150
AJMERA,0.2563,C,146.29,140.75,157.6,180,190,200
FEDERALBNK,0.2228,C,372.44,360.4,398.17,440,470,500
YESBANK,0.1501,C,25.83,25.18,27.82,35,40,45
DELHIVERY,0.0597,C,525.05,510.83,551.13,600,625,650
FSL,0.0339,C,342.58,331.71,378.86,430,480,525
APTUS,0.0235,C,309.62,299.64,334.94,370,410,430
