symbol,probability,grade,entry_distance_pct,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
PWL,0.5893,B+,0.0121,130.14,122.41,149.08,180.0,200.0,220.0
PFOCUS,0.5863,B+,0.0099,311.62,292.18,356.35,420.0,480.0,525.0
AARTIDRUGS,0.465,B,0.0039,430.66,412.15,457.19,500.0,550.0,575.0
ADVANCE,0.4537,B,0.0512,125.15,118.12,138.13,160.0,180.0,190.0
LTFOODS,0.4283,C,,,,,,,
BFINVEST,0.3976,C,0.0081,466.33,447.23,519.97,600.0,675.0,725.0
PINELABS,0.251,C,0.0364,172.14,162.41,193.75,230.0,260.0,280.0
JMFINANCIL,0.2457,C,0.0115,130.86,124.86,139.75,160.0,170.0,180.0
GAIL,0.2271,C,0.0023,176.64,171.75,185.06,200.0,210.0,220.0
BCG,0.1773,C,0.0084,9.65,9.31,11.12,15.0,20.0,25.0
LICI,0.1122,C,0.0035,414.13,401.52,431.62,460.0,480.0,500.0
