symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
CGCL,0.6226,B+,265.06,250.88,292.71,330,370,400
BCLIND,0.6194,B+,40.08,37.92,43.63,50,55,60
PWL,0.5634,B+,159.75,150.64,179.74,210,240,260
MRPL,0.5075,B,195.24,184.35,209.31,230,250,270
NYKAA,0.4589,B,348.7,338.18,379.98,420,470,500
AURUM,0.4524,B,265.17,253.12,292.82,330,370,400
PFOCUS,0.4215,C,367.73,346.34,412.46,470,550,600
ARIHANTCAP,0.3816,C,84.97,81.07,91.65,110,120,130
LTF,0.3812,C,339.28,325.94,367.49,410,450,480
BHAGCHEM,0.3567,C,317.53,300.43,353.3,400,450,490
MANAPPURAM,0.3314,C,382.31,367.04,418.69,470,525,575
SWIGGY,0.2999,C,305.61,294.04,324.45,350,380,400
AWL,0.295,C,216.44,209.03,227.43,250,260,270
AYE,0.29,C,197.68,186.53,227.35,270,310,340
BAJAJHCARE,0.2262,C,394.79,383.23,427.88,470,525,550
GAIL,0.1936,C,182.74,178.21,194.95,220,230,240
