symbol,probability,grade,entry_distance_pct,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
OIL,0.621,B+,0.0135,496.39,475.45,530.91,575.0,625.0,675.0
NYKAA,0.5693,B+,0.0122,348.7,337.23,373.66,410.0,450.0,470.0
PCBL,0.5596,B+,0.0105,334.52,320.6,364.75,410.0,450.0,480.0
JSWINFRA,0.494,B,0.0029,344.14,331.69,371.29,410.0,450.0,480.0
BAJAJHCARE,0.4423,C,0.0198,340.68,325.59,373.77,420.0,470.0,500.0
PNB,0.4096,C,0.0145,118.44,115.18,124.15,140.0,150.0,160.0
ADVANCE,0.4009,C,0.012,119.27,112.54,132.25,150.0,170.0,180.0
AVTNPL,0.279,C,0.0277,92.63,86.08,101.69,120.0,130.0,140.0
BHEL,0.2651,C,0.0135,436.82,418.14,468.59,525.0,575.0,600.0
SUNTV,0.2393,C,0.0129,482.16,462.86,538.82,625.0,700.0,750.0
NHPC,0.2252,C,0.0128,77.36,75.15,81.5,90.0,95.0,100.0
BAJAJHFL,0.1913,C,0.0124,85.15,83.08,88.49,95.0,100.0,110.0
AWFIS,0.1865,C,0.0087,295.74,276.8,344.67,410.0,480.0,525.0
ARVINDFASN,0.1769,C,0.0228,456.66,437.79,478.09,525.0,550.0,575.0
AGL,0.1674,C,,,,,,,
