symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
COALINDIA,0.4092,C,492.23,481.16,518.19,575.0,600.0,625.0
REDINGTON,0.4056,C,379.26,356.29,425.61,490.0,550.0,600.0
AEGISVOPAK,0.4002,C,312.11,295.97,347.27,400.0,450.0,480.0
RBLBANK,0.3633,C,395.29,383.98,419.33,450.0,490.0,525.0
LTFOODS,0.3541,C,491.68,467.05,526.13,575.0,625.0,675.0
BATLIBOI,0.324,C,,,,,,
ANDHRAPAP,0.3075,C,70.29,67.85,73.25,80.0,85.0,90.0
BHAGYANGR,0.2958,C,433.16,407.02,503.31,600.0,700.0,775.0
BESTAGRO,0.263,C,22.71,21.61,25.34,30.0,35.0,40.0
FEDERALBNK,0.2536,C,372.44,361.22,398.17,440.0,470.0,500.0
BANSALWIRE,0.2249,C,370.74,359.66,400.39,440.0,480.0,525.0
ASHIANA,0.2094,C,436.77,424.59,470.25,525.0,575.0,600.0
AJMERA,0.2061,C,146.29,140.69,157.6,180.0,190.0,200.0
