symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
ETERNAL,0.5362,B,320.34,306.75,346.44,380.0,420.0,450.0
SONATSOFTW,0.4,C,360.22,333.89,401.66,460.0,525.0,575.0
FILATEX,0.3906,C,85.87,79.89,99.32,120.0,140.0,150.0
IFCI,0.3863,C,95.99,91.98,109.43,130.0,150.0,160.0
ESTER,0.372,C,108.12,100.94,118.82,140.0,150.0,160.0
EDELWEISS,0.3466,C,134.17,127.93,143.66,160.0,170.0,180.0
DECNGOLD,0.3348,C,,,,,,
DCAL,0.3342,C,224.85,214.4,250.93,290.0,330.0,350.0
IOLCP,0.3132,C,179.96,167.99,210.15,250.0,300.0,330.0
