symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
AAREYDRUGS,0.5944,B,96.19,89.74,106.75,130,140,150
NSLNISP,0.5119,B,53.86,51.04,58.4,65,75,80
APTUS,0.3945,C,309.62,300.4,340.72,390,430,460
LEMONTREE,0.3888,C,128.64,125.66,135.41,150,160,170
ADVENTHTL,0.3513,C,177.88,169.85,193.52,220,240,260
ASIANHOTNR,0.3359,C,403.36,386.34,436.64,480,550,575
ATALREAL,0.3345,C,36.77,34.67,40.52,50,55,60
ARIHANTCAP,0.2986,C,84.97,81.0,91.4,100,110,120
APOLLO,0.2229,C,467.43,452.83,540.88,650,750,825
