symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
PETRONET,0.8005,A+,297.39,288.28,312.64,340,360,370
AWL,0.5625,B+,216.44,209.67,227.59,250,260,270
JSWINFRA,0.4725,B,356.51,342.72,389.8,440,480,525
CGCL,0.4506,B,265.06,252.84,293.46,330,370,400
IDBI,0.4018,C,92.43,89.82,100.93,120,130,140
KARURVYSYA,0.3507,C,352.5,341.78,377.2,410,450,470
SAIL,0.3487,C,210.12,201.3,227.72,260,280,300
HONASA,0.3383,C,510.82,486.59,571.1,650,750,800
PFOCUS,0.324,C,367.73,345.37,412.46,470,550,600
TATACAP,0.3005,C,390.98,377.68,416.6,450,490,525
AFIL,0.2882,C,11.12,10.3,12.1,15,20,25
EMMVEE,0.2863,C,372.29,357.66,416.22,480,550,600
AHCL,0.2726,C,17.23,16.49,18.89,25,30,35
VMM,0.2665,C,129.66,124.77,137.25,150,160,170
