symbol,probability,grade,entry_distance_pct,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
NYKAA,0.4547,B,0.0122,348.7,337.23,373.66,410,450,470
PCBL,0.3818,C,0.0105,334.52,320.6,364.75,410,450,480
BAJAJHCARE,0.3536,C,0.0198,340.68,325.59,373.77,420,470,500
JSWINFRA,0.331,C,0.0029,344.14,331.69,371.29,410,450,480
SUNTV,0.3286,C,0.0129,482.16,462.86,538.82,625,700,750
PNB,0.2755,C,0.0145,118.44,115.18,124.15,140,150,160
AWFIS,0.27,C,0.0087,295.74,276.8,344.67,410,480,525
BANDHANBNK,0.2129,C,0.0058,177.55,170.25,194.28,220,240,260
AVTNPL,0.1339,C,0.0277,92.63,86.08,101.69,120,130,140
