symbol,probability,grade,entry_distance_pct,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
OIL,0.5678,B+,0.0113,501.0,482.42,535.52,600,650,675
PINELABS,0.3939,C,0.0153,172.14,161.47,193.75,230,260,280
BAJAJHCARE,0.3931,C,0.0118,340.68,326.25,373.77,420,470,500
NYKAA,0.3656,C,0.0226,348.7,336.84,373.66,410,450,470
BHAGYANGR,0.3359,C,0.0185,399.3,377.69,460.85,550,650,700
AUTOIND,0.2819,C,0.0193,88.71,80.73,101.07,120,140,150
BHARATSE,0.27,C,0.0051,228.45,215.82,253.97,290,330,350
BANDHANBNK,0.2462,C,0.0348,177.55,170.42,194.28,220,240,260
JAINREC,0.2352,C,0.0373,307.61,290.27,395.03,525,650,725
INOXWIND,0.2211,C,0.0402,78.75,75.72,89.7,110,120,130
AADHARHFC,0.2158,C,0.0023,482.11,464.72,512.9,575,600,650
ATL,0.2096,C,0.0201,26.34,24.02,28.66,35,40,45
ADFFOODS,0.1815,C,0.0277,280.56,266.11,321.62,380,440,480
NHPC,0.1809,C,0.0192,77.36,75.27,81.5,90,95,100
SAREGAMA,0.1723,C,0.0141,504.01,478.38,571.03,675,775,825
