symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
ASIANENE,0.5706,B+,432.86,400.23,486.92,575,650,700
ASHOKLEY,0.5128,B,183.07,175.08,195.22,220,230,240
MRPL,0.4775,B,200.98,190.06,216.61,240,260,280
GOCOLORS,0.4573,B,440.88,418.81,493.29,575,650,700
TATAPOWER,0.3807,C,465.83,457.42,492.23,550,575,600
JINDALSAW,0.379,C,281.56,270.92,309.65,350,390,420
HAPPSTMNDS,0.3667,C,433.26,408.93,459.75,500,550,575
DCMSRIND,0.3569,C,50.1,46.69,55.02,65,70,75
CPCAP,0.3565,C,142.28,130.72,160.91,190,220,230
AWL,0.3534,C,216.44,209.56,227.95,250,260,280
IFCI,0.3491,C,95.99,91.8,109.43,130,150,160
ARIS,0.3462,C,159.32,150.96,176.9,200,230,250
CENTEXT,0.3425,C,24.05,21.86,26.32,30,35,40
URBANCO,0.3322,C,156.5,147.28,169.27,190,210,220
NATIONALUM,0.328,C,446.04,424.68,476.98,525,575,600
CANBK,0.3234,C,147.18,143.33,154.36,170,180,190
BHEL,0.3213,C,447.39,431.51,503.78,600,675,725
