symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
ANDHRAPAP,0.5889,B+,70.29,67.82,73.25,80,85,90
BFINVEST,0.5653,B+,585.87,565.73,642.7,725,800,875
JMFINANCIL,0.5601,B+,147.49,142.04,156.38,170,190,200
PPLPHARMA,0.3852,C,220.8,211.06,242.4,270,310,330
AJMERA,0.2913,C,146.29,140.75,157.6,180,190,200
CANHLIFE,0.2561,C,167.02,159.42,176.4,190,210,220
YESBANK,0.164,C,25.83,25.18,27.82,35,40,45
ANDHRSUGAR,0.1407,C,107.44,100.83,116.04,130,140,150
DELHIVERY,0.0602,C,525.05,510.83,551.13,600,625,650
APTUS,0.0288,C,309.62,299.64,334.94,370,410,430
