symbol,probability,grade,entry_distance_pct,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
FSL,0.348,C,,,,,,,
CASTROLIND,0.3073,C,0.0031,188.58,185.03,192.52,200.0,210.0,220.0
BAJAJHFL,0.1894,C,0.0137,85.15,82.98,88.49,95.0,100.0,110.0
