symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
BANSALWIRE,0.3723,C,370.74,354.02,410.86,470,525,575
ACMESOLAR,0.372,C,399.45,382.58,443.31,500,575,625
AURUM,0.358,C,265.17,250.71,295.84,340,380,410
ICIL,0.3566,C,464.73,427.81,529.26,625,725,775
CANHLIFE,0.3403,C,167.02,160.35,176.4,190,210,220
DLINKINDIA,0.337,C,550.3,532.11,597.14,675,725,775
DDEVPLSTIK,0.3348,C,315.63,292.97,350.95,400,450,490
EMKAY,0.3025,C,326.63,311.3,364.7,420,470,525
BHAGCHEM,0.2971,C,317.53,294.81,357.32,410,470,525
20MICRONS,0.2794,C,219.89,210.12,244.33,280,310,340
