symbol,probability,grade,entry_distance_pct,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
BALAJITELE,0.2698,C,0.0054,95.15,89.22,106.96,130,150,160
RHIM,0.2599,C,0.0134,388.33,371.92,414.29,460,500,550
ETERNAL,0.1816,C,0.0023,333.62,322.24,359.77,410,450,480
EXIDEIND,0.1438,C,0.0239,431.86,413.75,470.3,550,600,650
