ticker,price,pct_below_52w_high,rs_raw_score,tight_base,base_range_pct,up_down_vol_ratio,eps_growth_pct,sales_growth_pct,fundamentals_pass,rs_rating,final_candidate
SHYAMMETL.NS,1022.3,3.6,1.155,True,14.5,1.57,18.1,23.5,True,13,False
3MINDIA.NS,34940.0,5.8,1.134,True,11.7,1.41,203.1,16.8,True,12,False
IKS.NS,1782.3,7.6,1.131,True,14.8,2.36,39.4,18.5,True,11,False
THELEELA.NS,468.1,6.8,1.127,True,7.3,1.55,46.2,8.2,True,10,False
SIEMENS.NS,3658.8,5.2,1.123,True,7.9,1.21,-36.4,14.6,False,8,False
NIVABUPA.NS,85.92,2.8,1.121,True,4.5,1.03,89.3,26.8,True,7,False
RKFORGE.NS,626.4,2.5,1.111,True,16.0,3.03,297.8,19.8,True,6,False
JSWSTEEL.NS,1270.8,2.7,1.097,True,5.6,1.22,113.0,9.8,True,5,False
ATUL.NS,6803.0,3.8,1.075,True,12.6,2.0,92.0,25.0,True,3,False
PFC.NS,426.25,11.5,1.053,True,7.8,0.91,10.8,-15.4,False,2,False
