rank,ticker,price,score,composite_score,strong_close_pts,close_position_pct,volume_pts,volume_vs_avg,base_breakout_pts,base_range_pct,rs_pts,rs_edge_pct,room_pts,resistance_clearance_pct
433,GESHIP.NS,1371.3,0,16.8,0,27.4,0,0.48,0,13.2,0,-10.7,0,25.4
434,MCX.NS,2677.0,0,16.7,0,21.0,0,0.45,0,12.1,0,-8.7,0,28.6
435,ASTRAL.NS,1471.9,0,16.6,0,12.4,0,0.83,0,12.9,0,-6.2,0,8.6
436,SOBHA.NS,1344.4,0,16.3,0,18.4,0,0.5,0,12.9,0,-6.9,0,12.9
437,CANFINHOME.NS,816.3,0,16.2,0,30.3,0,0.4,0,14.8,0,-8.7,0,14.3
438,TECHNOE.NS,967.2,0,16.1,0,10.6,0,0.48,0,10.0,0,-26.2,0,42.0
439,DRREDDY.NS,1144.8,0,15.8,0,48.3,0,0.61,0,20.4,0,-11.1,0,19.4
440,GMDCLTD.NS,559.65,0,15.7,0,7.6,0,0.59,0,10.3,0,-23.7,0,25.7
441,AFCONS.NS,273.25,0,15.6,0,20.4,0,0.52,0,13.2,0,-20.1,0,23.8
442,MOTILALOFS.NS,836.95,0,15.6,0,7.8,0,0.83,0,14.9,0,-0.5,0,17.4
443,ITCHOTELS.NS,160.54,0,15.4,0,21.2,0,0.58,0,17.1,0,-1.3,0,16.6
444,BDL.NS,1245.9,0,15.3,0,22.6,0,0.42,0,13.7,0,-9.8,0,17.7
445,ITI.NS,273.45,0,15.3,0,13.6,0,0.17,0,10.4,0,-9.4,0,14.3
446,ZFCVINDIA.NS,2381.3,0,15.3,0,19.9,0,0.7,0,16.6,0,-3.5,0,12.6
447,NCC.NS,140.91,0,15.1,0,15.2,0,0.56,0,12.8,0,-15.8,0,20.7
448,CIEINDIA.NS,411.9,0,14.8,0,29.4,0,0.46,0,16.1,0,-14.4,0,16.9
449,KEC.NS,468.75,0,14.7,0,15.0,0,0.66,0,13.7,0,-19.7,0,30.7
450,ENGINERSIN.NS,221.98,0,14.6,0,20.7,0,0.25,0,13.1,0,-15.8,0,17.7
451,PINELABS.NS,140.17,0,14.3,0,11.2,0,0.54,0,12.7,0,-29.0,0,43.8
452,BSOFT.NS,306.3,0,14.1,0,9.5,0,1.24,0,16.0,0,-15.7,0,16.5
453,FIRSTCRY.NS,211.93,0,14.0,0,15.1,0,0.12,0,11.9,0,-11.1,0,12.6
454,BLS.NS,238.75,0,13.9,0,13.2,0,0.34,0,12.6,0,-14.9,0,22.3
455,NLCINDIA.NS,291.9,0,13.9,0,14.9,0,0.49,0,14.0,0,-9.5,0,27.1
456,MMTC.NS,60.09,0,13.4,0,15.2,0,0.12,0,13.3,0,-8.4,0,26.5
457,THERMAX.NS,4251.5,0,13.3,0,10.2,0,0.46,0,17.4,0,1.6,0,20.9
458,RPOWER.NS,23.33,0,12.9,0,21.6,0,0.33,0,15.9,0,-19.4,0,24.8
459,TATAELXSI.NS,3658.3,0,12.9,0,21.4,0,0.93,0,18.9,0,-11.5,0,21.7
460,IGL.NS,151.74,0,12.4,0,12.2,0,0.28,0,14.1,0,-9.7,0,12.5
461,FINCABLES.NS,973.0,0,12.2,0,33.5,0,0.25,0,21.2,0,-4.8,0,22.4
462,TEGA.NS,1477.4,0,12.2,0,8.9,0,0.66,0,15.3,0,-11.5,0,26.7
463,LTTS.NS,3559.1,0,12.1,0,14.3,0,0.47,0,18.1,0,-3.5,0,5.7
464,JUBLINGREA.NS,728.45,0,12.0,0,26.9,0,0.33,0,25.6,0,1.4,0,4.5
465,ABSLAMC.NS,1008.8,0,11.8,0,13.9,0,0.18,0,17.9,0,-1.1,0,15.9
466,BANDHANBNK.NS,172.72,0,11.8,0,45.9,0,0.67,0,30.6,0,-17.0,0,25.5
467,MAHABANK.NS,79.26,0,11.4,0,9.8,0,0.49,0,19.6,0,0.9,0,18.4
468,HBLENGINE.NS,699.3,0,10.8,0,23.0,0,0.35,0,19.0,0,-13.0,0,21.3
469,PATANJALI.NS,356.35,0,10.5,0,26.8,0,1.0,0,23.6,0,-22.5,0,32.2
470,ELECON.NS,417.25,0,6.1,0,20.3,0,0.5,0,32.6,0,-21.0,0,34.5
471,TARIL.NS,293.55,0,5.5,0,12.8,0,0.19,0,22.2,0,-12.3,0,22.3
