symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
PETRONET,0.5402,B,294.69,285.13,309.2,330,350,370
EMMVEE,0.4752,B,372.29,357.09,416.22,480,550,600
20MICRONS,0.3927,C,219.89,211.05,244.33,280,310,340
CANHLIFE,0.3259,C,167.02,160.15,176.4,190,210,220
BCLIND,0.2807,C,40.08,38.05,43.96,50,55,60
ABCAPITAL,0.2755,C,431.56,415.52,470.46,525,575,625
GROWW,0.2672,C,227.65,220.64,248.91,280,310,330
EMAMILTD,0.2466,C,477.95,463.09,505.31,550,600,625
BAJAJHFL,0.2421,C,94.19,92.57,100.0,110,120,130
IRCON,0.2117,C,164.73,160.0,178.25,200,220,230
ALEMBICLTD,0.2003,C,96.56,92.22,103.61,120,130,140
GICRE,0.1997,C,418.79,410.58,438.17,470,500,525
