symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
AWL,0.5491,B,216.44,209.67,227.59,250,260,270
AWFIS,0.5089,B,424.85,412.23,477.88,550,625,675
IDBI,0.4419,C,92.43,89.82,100.93,120,130,140
SAIL,0.4391,C,210.12,201.3,227.72,260,280,300
TARIL,0.4209,C,372.74,360.34,405.11,450,500,525
CGCL,0.4173,C,265.06,252.84,293.46,330,370,400
NCC,0.4159,C,172.11,166.23,183.47,200,220,230
VMM,0.39,C,129.66,124.77,137.25,150,160,170
AFIL,0.3662,C,11.12,10.3,12.1,15,20,25
AHCL,0.317,C,17.23,16.49,18.89,25,30,35
PFOCUS,0.3019,C,367.73,345.37,412.46,470,550,600
BALMLAWRIE,0.1988,C,199.9,195.75,213.81,240,260,270
ADFFOODS,0.1667,C,347.64,334.79,400.17,470,550,600
