symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
PINELABS,0.6177,B+,172.14,162.06,193.75,230,260,280
PWL,0.5688,B+,128.63,120.32,147.57,180,200,220
IGL,0.5299,B,159.02,153.69,167.01,180,190,200
ARTEMISMED,0.5101,B,334.37,318.98,364.98,410,450,480
GICRE,0.4687,B,362.52,352.24,383.29,410,440,460
JMFINANCIL,0.4374,C,132.65,126.66,141.54,160,170,180
ANGELONE,0.4125,C,305.66,290.92,328.83,360,400,420
AEROPLANE,0.3264,C,195.39,182.85,219.84,260,290,310
BESTAGRO,0.2665,C,19.46,18.07,22.09,30,35,40
CASTROLIND,0.2295,C,191.28,187.89,195.9,210,220,230
APOLLO,0.1841,C,398.55,384.03,461.52,550,650,700
SAMMAANCAP,0.1767,C,168.84,161.16,184.5,210,230,250
AARTIDRUGS,0.1735,C,434.87,415.9,461.4,500,550,575
AJMERA,0.149,C,121.58,115.77,132.89,150,170,180
