symbol,probability,grade,entry_distance_pct,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
NUVOCO,0.4709,B,0.0391,358.32,344.31,389.49,430,480,525
BAJEL,0.1793,C,0.0112,188.38,178.15,201.78,220,240,260
