symbol,probability,grade,entry_distance_pct,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
NLCINDIA,0.3906,C,0.0204,277.35,267.67,311.21,360,410,440
TATASTEEL,0.1484,C,0.008,190.63,183.48,202.71,220,240,250
