symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
CANHLIFE,0.5072,B,167.02,159.42,176.4,190,210,220
ENGINERSIN,0.4481,C,267.53,254.04,284.67,310,340,350
BAJAJHCARE,0.4231,C,394.79,382.01,427.88,470,525,550
AYMSYNTEX,0.3776,C,295.29,273.22,325.13,370,410,440
IDFCFIRSTB,0.2726,C,88.94,86.75,95.95,110,120,130
YESBANK,0.2423,C,25.83,25.25,27.82,35,40,45
ABCAPITAL,0.239,C,431.56,419.22,461.4,500,550,575
BPCL,0.2329,C,330.61,320.15,345.12,370,390,400
FEDERALBNK,0.228,C,372.44,362.11,398.17,440,470,500
GAIL,0.188,C,182.74,178.11,191.96,210,220,230
GICRE,0.152,C,418.79,409.73,438.17,470,500,525
SWIGGY,0.1483,C,305.61,295.09,324.45,350,380,400
SUZLON,0.1248,C,60.57,59.13,65.42,75,80,85
LTF,0.1231,C,339.28,325.8,361.72,400,430,450
