symbol,probability,grade,entry_distance_pct,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
AWHCL,0.434,C,,,,,,,
PNB,0.2222,C,0.0131,118.44,114.96,124.15,140.0,150.0,160.0
